src,dst
3012334485,29520332
2761347153,854021604623429633
924705143131705345,3252374615
515870436,1142345372
1208054916960411648,112527055
901352038344294400,830154425452920834
272345063,882824281
909503410860433409,860106029794824193
1094570872025817088,818283514068017152
452531576,937538007657271297
96919832,54083492
1275867279259926533,2966774301
89059001,437387794
1273677793319096322,1188658985781608448
1279221478777589765,1281592602962407432
825491954917969920,614800638
449115072,234476755
803694634635579392,803751832828788736
2409088813,2308418936
574516858,450539646
1135716328499798016,482891239
2365502939,2994005885
321671209,27345099
804449555777368064,946778119603662848
52440175,1197680350169849858
58052816,585263312
1143319396171096065,580537824
951118172748505095,316429052
351736391,35768759
26949390,887924208
1064579625903448067,1239345047507742720
202766654,253784228
987469944169418752,3022863239
1295770437629206528,1101431408
1261480167127445505,4043117058
1241780283994779649,743828447298879488
3302264374,214672289
3397565223,4738100896
1486945868,475273948
1261303068639010818,2202868713
466756850,335611997
480586426,910888750787547137
1468191439,305930359
306501902,2685905359
1049916299181256704,716811480
1299769993211633666,187890050
701759239014981633,81961543
1226425779535405056,1195482778550321153
444125817,1244000668626694145
291600335,118739566
188937379,13299972
16787084,27000730
27723907,552186827
1277956833617969153,1278070421808648192
162002362,14534412
471975072,59455207
1912314038,35838883
832316491060097025,2523339798
23600262,800519247449366528
309890939,36697982
2260464090,17291277
796339586033139712,3063702081
301014412,105119490
701619349753180160,1121239101431148544
273253718,36418935
883701967071170561,48462373
4899143068,2157484838
479830294,1311189811
1099408793924980736,1171833473591664640
63782612,18139497
821754595147976705,953823706811285504
1236130211927937024,26918320
35246396,104552134
2227539282,1008116738
720594946,29464363
1153045459,3268901430
2464711812,485307941
1026945857382432768,754677774703472640
1184358630,935716178353369088
2301362736,2533691008
1267156128330403841,393028587
205938621,26829777
348702069,15869968
452394012,3312212570
23836537,40771531
994849841401475072,2613992689
864883195,220952424
3885904272,1774231
1093191371559710720,49883265
248436668,204657312
816609838801289216,1165209082099355649
1238040264016445440,799464151047372800
376190658,1278225809824677888
740483180,16802422
783432377863286788,57928790
957562414857445376,792821470414209024
112840846,21465082
734958961053556738,3891258455
743155123258531840,15201979
1266336608,15920243
487032520,468956937
75123882,20244842
28189840,234521957
550281859,1566023353
1179340454086750209,853180057292079105
141145620,246820781
57462439,22208724
369515882,454065821
813820549751308288,832129926652317696
2389737176,1064591350975352833
900479515557675008,871809558590758913
208159368,57810667
962554896397537280,7334062
1202439120930230273,1288247592502136832
855229572345995264,2871273557
1171050573811961858,74286565
1086614858,1176357630626996224
4527025654,482573705
1158852089495347200,34743251
1357017240,20717556
414442334,54277123
946750430,753988526765641728
38926729,1011562866
964446415769530368,1117691456574115840
702022009,937907622
1350838758,2572596041
816467748184276992,2401741410
241859577,190276915
1506844632,713810631351083011
822541984950874112,259635462
173526224,800519247449366528
482801116,137614375
866878059277930496,2846005074
105200095,244652832
16021672,51147094
823890560419319808,376731683
2190021610,928087277133357056
42279494,754087695073288192
1300760813486006272,1152616481139482629
755330948,607481432
